eventid|venueid|catid|eventname|starttime
1265|226|6|South Pacific|2008-12-28 15:00:00.000000
1829|226|7|Othello|2008-12-28 15:00:00.000000
2007|211|7|The Homecoming|2008-12-28 14:30:00.000000
2401|202|7|Hedda Gabler|2008-12-28 15:00:00.000000
2771|208|7|A Midsummer Night's Dream|2008-12-28 19:30:00.000000
3576|200|7|The Farnsworth Invention|2008-12-28 14:30:00.000000
4406|59|9|KT Tunstall|2008-12-28 19:00:00.000000
4449|1|9|Linda Eder|2008-12-28 14:00:00.000000
5917|104|9|The Police|2008-12-28 14:00:00.000000
6194|126|9|DJ Shadow and Cut Chemist|2008-12-28 19:00:00.000000
6726|84|9|Dandy Warhols|2008-12-28 19:00:00.000000
6759|22|9|Bo Bice|2008-12-28 14:00:00.000000
7406|90|9|Lyle Lovett|2008-12-28 15:00:00.000000
8059|115|9|Umphreys McGee|2008-12-28 19:00:00.000000
189|307|8|Don Giovanni|2008-12-29 14:30:00.000000
245|306|8|La Sonnambula|2008-12-29 19:30:00.000000
1261|202|6|Memphis - The Birth of Rock n Roll|2008-12-29 19:30:00.000000
2100|235|7|For Colored Girls Who Have Considered Suicide When the Rainbow is Enuf|2008-12-29 14:30:00.000000
2308|219|7|Rhinoceros|2008-12-29 20:00:00.000000
2429|246|7|Macbeth|2008-12-29 19:30:00.000000
3419|244|7|November|2008-12-29 14:30:00.000000
4096|11|9|Ryan Adams|2008-12-29 19:00:00.000000
4954|29|9|King Crimson|2008-12-29 19:30:00.000000
5375|107|9|Barenaked Ladies|2008-12-29 14:00:00.000000
5424|63|9|Widespread Panic|2008-12-29 15:00:00.000000
6957|85|9|Jason Aldean|2008-12-29 14:00:00.000000
6996|50|9|Rod Stewart|2008-12-29 19:00:00.000000
7845|106|9|Aimee Mann|2008-12-29 15:00:00.000000
8521|46|9|Lonestar|2008-12-29 15:00:00.000000
1217|238|6|Mamma Mia!|2008-01-01 20:00:00.000000
1433|248|6|Grease|2008-01-01 19:00:00.000000
2811|207|7|Spring Awakening|2008-01-01 15:00:00.000000
3915|51|9|Return To Forever|2008-01-01 14:00:00.000000
4135|16|9|Nas|2008-01-01 14:30:00.000000
5807|45|9|Return To Forever|2008-01-01 15:00:00.000000
6649|6|9|Hannah Montana|2008-01-01 19:30:00.000000
6711|72|9|Smashing Pumpkins|2008-01-01 19:00:00.000000
7747|6|9|K.D. Lang|2008-01-01 15:00:00.000000
521|248|6|West Side Story|2008-01-02 15:00:00.000000
1337|217|6|Spamalot|2008-01-02 20:00:00.000000
1738|260|6|Beatles LOVE|2008-01-02 20:00:00.000000
2131|212|7|Macbeth|2008-01-02 15:00:00.000000
2494|203|7|The Caretaker|2008-01-02 19:00:00.000000
2809|213|7|The Cherry Orchard|2008-01-02 14:30:00.000000
2824|248|7|Cirque du Soleil|2008-01-02 19:00:00.000000
2920|209|7|Macbeth|2008-01-02 19:30:00.000000
4853|39|9|Rick Braun|2008-01-02 19:00:00.000000
5475|98|9|Demi Lovato|2008-01-02 19:30:00.000000
5737|77|9|David Sanborn|2008-01-02 19:00:00.000000
6262|2|9|Gogol Bordello|2008-01-02 15:00:00.000000
394|300|8|Adriana Lecouvreur|2008-01-03 15:00:00.000000
2043|217|7|The Bacchae|2008-01-03 19:00:00.000000
2266|247|7|Passing Strange|2008-01-03 20:00:00.000000
2729|200|7|Hedda Gabler|2008-01-03 14:00:00.000000
3496|205|7|August: Osage County|2008-01-03 19:00:00.000000
3633|232|7|The Country Girl|2008-01-03 19:30:00.000000
4671|24|9|The Rowdy Frynds Tour|2008-01-03 19:00:00.000000
4680|65|9|The Roots|2008-01-03 14:00:00.000000
4711|2|9|Carrie Underwood|2008-01-03 19:00:00.000000
5508|55|9|Ryan Adams|2008-01-03 19:30:00.000000
5546|40|9|Third Day|2008-01-03 19:00:00.000000
6071|47|9|3 Doors Down|2008-01-03 15:00:00.000000
6120|130|9|Bob Dylan|2008-01-03 19:30:00.000000
6274|96|9|Beck|2008-01-03 15:00:00.000000
6287|21|9|Buckcherry|2008-01-03 19:00:00.000000
7468|37|9|Commodores|2008-01-03 19:00:00.000000
982|244|6|Gypsy|2008-01-04 15:00:00.000000
1567|257|6|Blue Man Group|2008-01-04 15:00:00.000000
1764|262|6|Mamma Mia!|2008-01-04 20:00:00.000000
1981|219|7|King Lear|2008-01-04 15:00:00.000000
2274|222|7|The Caretaker|2008-01-04 20:00:00.000000
2606|241|7|The Caretaker|2008-01-04 14:30:00.000000
3263|215|7|Rosencrantz and Guildenstern Are Dead|2008-01-04 20:00:00.000000
3430|202|7|Spring Awakening|2008-01-04 20:00:00.000000
3749|203|7|Waiting for Godot|2008-01-04 19:30:00.000000
4563|89|9|Killers|2008-01-04 20:00:00.000000
4808|36|9|Serj Tankian|2008-01-04 14:00:00.000000
5515|11|9|Foreigner|2008-01-04 14:00:00.000000
5540|31|9|Styx|2008-01-04 15:00:00.000000
6912|82|9|Shakira|2008-01-04 14:00:00.000000
7189|27|9|Michael Buble|2008-01-04 14:00:00.000000
7568|91|9|Sound Tribe Sector 9|2008-01-04 19:00:00.000000
7751|48|9|Jesse McCartney|2008-01-04 19:30:00.000000
7778|85|9|Zucchero|2008-01-04 14:00:00.000000
8006|9|9|Bette Midler|2008-01-04 19:30:00.000000
8745|59|9|Jonas Brothers|2008-01-04 14:00:00.000000
54|300|8|La Cenerentola (Cinderella)|2008-01-05 15:00:00.000000
1193|229|6|Fiddler on the Roof|2008-01-05 14:00:00.000000
1428|207|6|Jersey Boys|2008-01-05 14:00:00.000000
3063|207|7|Waiting for Godot|2008-01-05 20:00:00.000000
3140|239|7|Romeo and Juliet|2008-01-05 15:00:00.000000
3234|207|7|The Caucasian Chalk Circle|2008-01-05 14:00:00.000000
3478|244|7|The Caretaker|2008-01-05 19:00:00.000000
3878|1|9|Jim Brickman|2008-01-05 19:30:00.000000
4731|91|9|Flogging Molly|2008-01-05 14:00:00.000000
6441|15|9|Journey|2008-01-05 14:00:00.000000
6901|123|9|Stone Temple Pilots|2008-01-05 14:00:00.000000
8111|54|9|O.A.R.|2008-01-05 15:00:00.000000
1350|239|6|Memphis - The Birth of Rock n Roll|2008-01-06 14:30:00.000000
4306|69|9|Backstreet Boys|2008-01-06 20:00:00.000000
4488|15|9|George Thorogood and the Destroyers|2008-01-06 20:00:00.000000
4767|109|9|Ani DiFranco|2008-01-06 19:30:00.000000
5864|111|9|Kenny Wayne Shepherd|2008-01-06 15:00:00.000000
6966|72|9|Gavin DeGraw|2008-01-06 19:00:00.000000
7710|120|9|Built To Spill|2008-01-06 19:30:00.000000
7776|71|9|Billy Joel|2008-01-06 19:30:00.000000
8098|98|9|The Swell Season|2008-01-06 19:30:00.000000
8719|68|9|Hermans Hermits|2008-01-06 14:00:00.000000
81|306|8|The Birds (Die Vogel)|2008-01-07 14:00:00.000000
1038|224|6|The Little Mermaid|2008-01-07 14:00:00.000000
1238|248|6|Gypsy|2008-01-07 15:00:00.000000
1904|229|7|Thurgood|2008-01-07 14:00:00.000000
2304|226|7|The Cherry Orchard|2008-01-07 19:30:00.000000
2469|203|7|Passing Strange|2008-01-07 15:00:00.000000
3786|203|7|Wicked|2008-01-07 14:30:00.000000
4325|60|9|Allman Brothers Band|2008-01-07 14:00:00.000000
5323|130|9|English Beat|2008-01-07 19:30:00.000000
5468|33|9|Judas Priest|2008-01-07 19:30:00.000000
5720|103|9|Air Supply|2008-01-07 19:30:00.000000
6091|50|9|Carrie Underwood|2008-01-07 14:00:00.000000
6179|123|9|Kanye West|2008-01-07 15:00:00.000000
202|309|8|Adriana Lecouvreur|2008-01-08 19:30:00.000000
1720|251|6|Mamma Mia!|2008-01-08 14:00:00.000000
2600|248|7|As You Like It|2008-01-08 14:00:00.000000
4335|85|9|Dave Koz|2008-01-08 20:00:00.000000
4968|66|9|KT Tunstall|2008-01-08 14:00:00.000000
6973|130|9|Bloc Party|2008-01-08 19:30:00.000000
7416|38|9|Taylor Swift|2008-01-08 15:00:00.000000
7419|70|9|Chaka Khan|2008-01-08 19:00:00.000000
7463|71|9|Duffy|2008-01-08 15:00:00.000000
7605|106|9|Steven Curtis Chapman|2008-01-08 19:00:00.000000
251|305|8|Ring Cycle|2008-01-09 20:00:00.000000
1250|248|6|The Phantom of the Opera|2008-01-09 20:00:00.000000
1539|260|6|Mamma Mia!|2008-01-09 14:00:00.000000
1548|258|6|Spamalot|2008-01-09 14:30:00.000000
1796|257|6|Phantom of the Opera|2008-01-09 19:30:00.000000
2111|217|7|Rosencrantz and Guildenstern Are Dead|2008-01-09 20:00:00.000000
3476|222|7|The 39 Steps|2008-01-09 14:30:00.000000
4316|101|9|Dixie Chicks|2008-01-09 14:00:00.000000
4464|124|9|Greg Kihn Band|2008-01-09 19:00:00.000000
4552|37|9|Rock The Bayou|2008-01-09 15:00:00.000000
4813|4|9|Mark Knopfler|2008-01-09 19:30:00.000000
5758|44|9|Nine Inch Nails|2008-01-09 15:00:00.000000
5936|79|9|Neville Brothers|2008-01-09 19:30:00.000000
6175|112|9|Justin Timberlake|2008-01-09 19:00:00.000000
6348|16|9|Tina Turner|2008-01-09 19:00:00.000000
7492|8|9|James Blunt|2008-01-09 15:00:00.000000
7944|19|9|DJ Shadow and Cut Chemist|2008-01-09 14:00:00.000000
8302|26|9|Insane Clown Posse|2008-01-09 19:00:00.000000
8359|81|9|Rick Braun|2008-01-09 15:00:00.000000
8431|24|9|B.B. King|2008-01-09 19:30:00.000000
600|209|6|Grease|2008-01-10 14:00:00.000000
2438|229|7|Rhinoceros|2008-01-10 14:00:00.000000
2602|224|7|The 39 Steps|2008-01-10 15:00:00.000000
3973|54|9|Michael Buble|2008-01-10 20:00:00.000000
4258|113|9|Ben Harper|2008-01-10 19:30:00.000000
4679|104|9|Dropkick Murphys|2008-01-10 19:00:00.000000
5042|60|9|Michael Buble|2008-01-10 19:00:00.000000
5299|126|9|Tesla|2008-01-10 19:00:00.000000
5365|40|9|Govt Mule|2008-01-10 19:30:00.000000
6385|24|9|Kenny Wayne Shepherd|2008-01-10 19:00:00.000000
6481|91|9|Bamboozle Left|2008-01-10 14:00:00.000000
7086|29|9|Joe Satriani|2008-01-10 14:00:00.000000
56|306|8|L Elisir d Amore|2008-01-11 19:00:00.000000
318|307|8|Simon Boccanegra|2008-01-11 19:00:00.000000
999|217|6|Mamma Mia!|2008-01-11 14:00:00.000000
1069|231|6|Legally Blonde|2008-01-11 19:00:00.000000
2265|245|7|Rosencrantz and Guildenstern Are Dead|2008-01-11 19:30:00.000000
2357|228|7|Othello|2008-01-11 15:00:00.000000
2904|238|7|Young Frankenstein|2008-01-11 19:30:00.000000
4192|42|9|Gipsy Kings|2008-01-11 14:30:00.000000
4565|33|9|Chromeo|2008-01-11 20:00:00.000000
4757|32|9|Joe Cocker|2008-01-11 19:00:00.000000
5347|62|9|Extreme|2008-01-11 19:00:00.000000
5413|34|9|UB40|2008-01-11 15:00:00.000000
7152|111|9|Celtic Thunder|2008-01-11 14:00:00.000000
7358|125|9|Burt Bacharach|2008-01-11 14:00:00.000000
8239|83|9|LeAnn Rimes|2008-01-11 19:30:00.000000
609|222|6|State Fair|2008-01-12 14:00:00.000000
1770|257|6|Legally Blonde|2008-01-12 20:00:00.000000
4003|25|9|Regina Spektor|2008-01-12 19:00:00.000000
4139|103|9|Charlie Daniels Band|2008-01-12 19:30:00.000000
5279|117|9|Teddy Geiger|2008-01-12 19:00:00.000000
5394|61|9|Bad Company|2008-01-12 19:30:00.000000
5619|1|9|Bow Wow|2008-01-12 15:00:00.000000
7677|63|9|My Morning Jacket|2008-01-12 15:00:00.000000
7994|85|9|Rock To Win At the DNC|2008-01-12 19:30:00.000000
8723|111|9|Melissa Etheridge|2008-01-12 19:30:00.000000
525|218|6|South Pacific|2008-01-13 14:30:00.000000
648|241|6|State Fair|2008-01-13 19:00:00.000000
1901|237|7|Spring Awakening|2008-01-13 14:00:00.000000
3547|202|7|The Farnsworth Invention|2008-01-13 14:30:00.000000
3559|237|7|All My Sons|2008-01-13 19:00:00.000000
4244|118|9|Chicago|2008-01-13 19:00:00.000000
4535|109|9|John Prine|2008-01-13 14:00:00.000000
5173|121|9|Michael McDonald|2008-01-13 15:00:00.000000
5328|60|9|John Mellencamp|2008-01-13 19:00:00.000000
6253|35|9|Seether|2008-01-13 19:00:00.000000
6490|75|9|Nine Inch Nails|2008-01-13 19:30:00.000000
6714|73|9|Ryan Adams|2008-01-13 15:00:00.000000
6997|38|9|Bo Bice|2008-01-13 15:00:00.000000
8232|82|9|Feist|2008-01-13 19:00:00.000000
8368|12|9|G. Love and Special Sauce|2008-01-13 19:00:00.000000
8486|14|9|Christina Aguilera|2008-01-13 19:30:00.000000
8609|47|9|Alicia Keys|2008-01-13 19:30:00.000000
385|305|8|The Fly|2008-01-14 15:00:00.000000
1836|236|7|Woyzeck|2008-01-14 15:00:00.000000
2213|241|7|Iphigenia|2008-01-14 14:30:00.000000
2376|240|7|Wicked|2008-01-14 20:00:00.000000
2634|206|7|Uncle Vanya|2008-01-14 20:00:00.000000
2890|230|7|Rhinoceros|2008-01-14 15:00:00.000000
3373|245|7|Othello|2008-01-14 14:30:00.000000
3752|241|7|To Be or Not To Be|2008-01-14 14:00:00.000000
6639|66|9|Tokio Hotel|2008-01-14 15:00:00.000000
6721|119|9|Neil Diamond|2008-01-14 19:30:00.000000
7428|44|9|Godsmack|2008-01-14 19:00:00.000000
8046|65|9|Lollapalooza|2008-01-14 15:00:00.000000
8188|15|9|Projekt Revolution|2008-01-14 15:00:00.000000
8446|4|9|Armando Manzanero|2008-01-14 14:00:00.000000
1413|241|6|Grease|2008-01-15 14:00:00.000000
5646|95|9|Jessica Simpson|2008-01-15 19:30:00.000000
5860|57|9|Smash Mouth|2008-01-15 14:00:00.000000
6114|73|9|Randy Travis|2008-01-15 19:30:00.000000
6756|58|9|Suzanne Vega|2008-01-15 15:00:00.000000
7424|13|9|Eva Ayllon|2008-01-15 15:00:00.000000
7499|11|9|Cold War Kids|2008-01-15 19:00:00.000000
7721|111|9|War|2008-01-15 19:00:00.000000
2541|210|7|Passing Strange|2008-01-16 19:00:00.000000
3290|240|7|A Man For All Seasons|2008-01-16 20:00:00.000000
3383|216|7|Young Frankenstein|2008-01-16 20:00:00.000000
3832|23|9|Los Temerarios|2008-01-16 15:00:00.000000
3900|58|9|Wyclef Jean|2008-01-16 19:00:00.000000
4518|49|9|Indigo Girls|2008-01-16 14:30:00.000000
4875|33|9|Lenny Kravitz|2008-01-16 15:00:00.000000
5990|102|9|Black Kids|2008-01-16 19:00:00.000000
6107|87|9|70s Soul Jam|2008-01-16 19:30:00.000000
6786|42|9|Beck|2008-01-16 19:30:00.000000
8337|39|9|Dave Stewart|2008-01-16 19:00:00.000000
59|301|8|Tristan und Isolde|2008-01-17 15:00:00.000000
2901|202|7|A Man For All Seasons|2008-01-17 14:30:00.000000
4448|8|9|Rick Braun|2008-01-17 19:30:00.000000
5606|15|9|Manhattan Transfer|2008-01-17 19:00:00.000000
5869|20|9|Manhattan Transfer|2008-01-17 14:00:00.000000
7039|85|9|Chaka Khan|2008-01-17 19:30:00.000000
7810|106|9|Foghat|2008-01-17 19:30:00.000000
7993|87|9|Radiohead|2008-01-17 19:00:00.000000
8261|44|9|Bruce Springsteen|2008-01-17 15:00:00.000000
1632|256|6|Zumanity|2008-01-18 14:00:00.000000
2723|245|7|Macbeth|2008-01-18 20:00:00.000000
3293|214|7|As You Like It|2008-01-18 19:00:00.000000
3937|48|9|Juan Luis Guerra|2008-01-18 14:00:00.000000
4329|71|9|Neil Diamond|2008-01-18 19:00:00.000000
5514|122|9|Snoop Dogg|2008-01-18 19:30:00.000000
5567|52|9|Rick Springfield|2008-01-18 19:00:00.000000
5600|113|9|Eagles|2008-01-18 19:00:00.000000
6118|56|9|Hot Tuna|2008-01-18 15:00:00.000000
7115|22|9|Joe Cocker|2008-01-18 19:30:00.000000
7206|46|9|Colbie Caillat|2008-01-18 19:30:00.000000
8769|23|9|Rod Stewart|2008-01-18 14:00:00.000000
1231|217|6|Fiddler on the Roof|2008-01-19 19:00:00.000000
1768|253|6|Le Reve|2008-01-19 14:30:00.000000
1913|213|7|The Farnsworth Invention|2008-01-19 19:00:00.000000
2180|249|7|A Streetcar Named Desire|2008-01-19 14:00:00.000000
3813|110|9|The Roots|2008-01-19 19:30:00.000000
4803|56|9|Clint Black|2008-01-19 15:00:00.000000
5081|51|9|War|2008-01-19 19:00:00.000000
5944|11|9|Wilco|2008-01-19 19:30:00.000000
7629|130|9|Rock the Bells|2008-01-19 19:00:00.000000
8605|15|9|Bullet for My Valentine|2008-01-19 15:00:00.000000
508|212|6|A Chorus Line|2008-01-20 14:00:00.000000
913|215|6|Oliver!|2008-01-20 19:00:00.000000
1020|239|6|Fiddler on the Roof|2008-01-20 14:00:00.000000
2628|224|7|Uncle Vanya|2008-01-20 19:30:00.000000
3286|241|7|The Tempest|2008-01-20 14:00:00.000000
3712|243|7|Cirque du Soleil|2008-01-20 19:30:00.000000
4502|58|9|Govt Mule|2008-01-20 19:30:00.000000
5195|108|9|Eddie Vedder|2008-01-20 14:00:00.000000
5243|53|9|Daughtry|2008-01-20 19:30:00.000000
7052|126|9|Trace Adkins|2008-01-20 15:00:00.000000
7546|127|9|Luis Miguel|2008-01-20 15:00:00.000000
2090|209|7|For Colored Girls Who Have Considered Suicide When the Rainbow is Enuf|2008-01-21 19:30:00.000000
2572|218|7|The Tempest|2008-01-21 14:00:00.000000
2797|211|7|August: Osage County|2008-01-21 14:00:00.000000
3013|214|7|King Lear|2008-01-21 14:00:00.000000
4298|63|9|Celtic Thunder|2008-01-21 14:30:00.000000
5308|117|9|Tom Jones|2008-01-21 19:00:00.000000
5457|46|9|Guitars and Saxes|2008-01-21 15:00:00.000000
5551|7|9|America|2008-01-21 14:00:00.000000
6360|13|9|Frankie Valli|2008-01-21 19:00:00.000000
6788|108|9|.38 Special|2008-01-21 19:30:00.000000
7955|125|9|Poison|2008-01-21 15:00:00.000000
168|305|8|Lucia di Lammermoor|2008-01-22 19:30:00.000000
799|214|6|Oliver!|2008-01-22 19:00:00.000000
1458|208|6|A Catered Affair|2008-01-22 19:30:00.000000
2832|245|7|All My Sons|2008-01-22 19:00:00.000000
2893|216|7|Othello|2008-01-22 19:00:00.000000
3308|245|7|Electra|2008-01-22 14:00:00.000000
3388|215|7|The Homecoming|2008-01-22 19:30:00.000000
3446|239|7|Macbeth|2008-01-22 15:00:00.000000
4077|129|9|Casting Crowns|2008-01-22 14:00:00.000000
5080|53|9|Erykah Badu|2008-01-22 19:30:00.000000
5507|19|9|Southside Johnny & the Asbury Jukes|2008-01-22 15:00:00.000000
6225|81|9|Chaka Khan|2008-01-22 14:00:00.000000
6781|65|9|Soulfest|2008-01-22 19:30:00.000000
8035|40|9|Brad Paisley|2008-01-22 19:30:00.000000
8502|49|9|Snoop Dogg|2008-01-22 19:30:00.000000
1014|226|6|Curtains|2008-01-23 14:00:00.000000
1615|253|6|Phantom of the Opera|2008-01-23 15:00:00.000000
4867|119|9|Clint Black|2008-01-23 19:30:00.000000
6024|77|9|Pat Benatar|2008-01-23 19:00:00.000000
6295|129|9|Alejandro Fernandez|2008-01-23 19:00:00.000000
8481|113|9|Creedence Clearwater Revisited|2008-01-23 19:00:00.000000
581|246|6|Spamalot|2008-01-24 19:00:00.000000
1348|244|6|High School Musical|2008-01-24 19:30:00.000000
2236|240|7|Uncle Vanya|2008-01-24 15:00:00.000000
2472|225|7|The Seagull|2008-01-24 14:00:00.000000
3687|220|7|A Man For All Seasons|2008-01-24 14:30:00.000000
3837|67|9|Randy Travis|2008-01-24 15:00:00.000000
3982|120|9|Lynyrd Skynyrd|2008-01-24 14:00:00.000000
4414|107|9|Smashing Pumpkins|2008-01-24 19:00:00.000000
5071|75|9|Bette Midler|2008-01-24 19:30:00.000000
5754|18|9|Nofx|2008-01-24 14:00:00.000000
6650|120|9|Madonna|2008-01-24 14:00:00.000000
7479|105|9|Alicia Keys|2008-01-24 19:00:00.000000
7884|67|9|Ray Davies|2008-01-24 15:00:00.000000
8141|106|9|ZZ Top|2008-01-24 15:00:00.000000
425|301|8|Don Giovanni|2008-01-25 20:00:00.000000
826|249|6|Hairspray|2008-01-25 20:00:00.000000
1242|222|6|The Phantom of the Opera|2008-01-25 19:00:00.000000
2342|227|7|The Glass Menagerie|2008-01-25 15:00:00.000000
2782|243|7|The Caretaker|2008-01-25 19:30:00.000000
4324|9|9|Gwen Stefani|2008-01-25 19:30:00.000000
4555|90|9|Weird Al Yankovic|2008-01-25 14:00:00.000000
5668|5|9|DJ Shadow and Cut Chemist|2008-01-25 19:00:00.000000
5735|117|9|Joe Satriani|2008-01-25 19:00:00.000000
7111|84|9|Joan Baez|2008-01-25 15:00:00.000000
7198|119|9|Goo Goo Dolls|2008-01-25 19:30:00.000000
8069|99|9|Steve Miller Band|2008-01-25 15:00:00.000000
1297|215|6|Hairspray|2008-01-26 19:30:00.000000
1482|236|6|Oliver!|2008-01-26 14:30:00.000000
1537|256|6|Zumanity|2008-01-26 15:00:00.000000
1673|260|6|Legally Blonde|2008-01-26 15:00:00.000000
2587|215|7|Macbeth|2008-01-26 15:00:00.000000
3227|207|7|The Homecoming|2008-01-26 19:30:00.000000
3730|247|7|Miss Julie|2008-01-26 20:00:00.000000
3906|17|9|Regina Spektor|2008-01-26 14:30:00.000000
4474|30|9|Smokey Robinson|2008-01-26 20:00:00.000000
5479|41|9|Scorpions|2008-01-26 15:00:00.000000
5786|42|9|Fab Faux|2008-01-26 19:00:00.000000
5889|12|9|Phil Vassar|2008-01-26 19:00:00.000000
6135|64|9|Casting Crowns|2008-01-26 19:00:00.000000
7443|75|9|Chicago|2008-01-26 19:30:00.000000
8382|101|9|Chicago|2008-01-26 15:00:00.000000
395|305|8|Simon Boccanegra|2008-01-27 14:30:00.000000
1105|228|6|Mamma Mia!|2008-01-27 20:00:00.000000
1995|222|7|The Bacchae|2008-01-27 15:00:00.000000
2255|237|7|Glengarry Glen Ross|2008-01-27 20:00:00.000000
2570|236|7|The Tempest|2008-01-27 15:00:00.000000
3724|206|7|Endgame|2008-01-27 14:00:00.000000
3797|201|7|Young Frankenstein|2008-01-27 14:00:00.000000
4262|64|9|Alan Jackson|2008-01-27 14:30:00.000000
4728|120|9|Ray Davies|2008-01-27 14:30:00.000000
5084|100|9|Mariah Carey|2008-01-27 19:00:00.000000
5331|13|9|Toad The Wet Sprocket|2008-01-27 19:30:00.000000
5532|85|9|Cold War Kids|2008-01-27 15:00:00.000000
6293|75|9|Blues Brothers|2008-01-27 19:30:00.000000
7375|79|9|The Who|2008-01-27 15:00:00.000000
7603|50|9|Gipsy Kings|2008-01-27 15:00:00.000000
313|300|8|La Gioconda|2008-01-28 14:30:00.000000
980|217|6|Mamma Mia!|2008-01-28 14:30:00.000000
1905|217|7|The Tempest|2008-01-28 14:00:00.000000
2067|215|7|November|2008-01-28 14:30:00.000000
2124|237|7|Rock 'n' Roll|2008-01-28 14:30:00.000000
2326|213|7|Othello|2008-01-28 14:00:00.000000
2919|243|7|As You Like It|2008-01-28 19:00:00.000000
2922|200|7|Rhinoceros|2008-01-28 19:00:00.000000
5312|1|9|Clint Black|2008-01-28 15:00:00.000000
5658|58|9|George Jones|2008-01-28 19:30:00.000000
6564|129|9|KT Tunstall|2008-01-28 14:00:00.000000
6826|7|9|Merle Haggard|2008-01-28 19:30:00.000000
7169|115|9|Dropkick Murphys|2008-01-28 15:00:00.000000
8085|22|9|Allman Brothers Band|2008-01-28 19:00:00.000000
759|245|6|The Lion King|2008-01-29 14:30:00.000000
930|231|6|Hairspray|2008-01-29 19:00:00.000000
1821|220|7|Thurgood|2008-01-29 14:30:00.000000
2826|216|7|Rhinoceros|2008-01-29 15:00:00.000000
5986|97|9|Jethro Tull|2008-01-29 19:00:00.000000
6031|66|9|Brad Paisley|2008-01-29 19:30:00.000000
6302|108|9|Kenny Rogers|2008-01-29 19:00:00.000000
7168|14|9|Fleet Foxes|2008-01-29 19:30:00.000000
7692|65|9|Matisyahu|2008-01-29 19:30:00.000000
8092|83|9|English Beat|2008-01-29 15:00:00.000000
89|305|8|Doctor Atomic|2008-01-30 20:00:00.000000
234|301|8|La Damnation de Faust|2008-01-30 14:00:00.000000
695|221|6|Fiddler on the Roof|2008-01-30 19:00:00.000000
1085|222|6|A Chorus Line|2008-01-30 19:30:00.000000
1384|243|6|Les Miserables|2008-01-30 19:30:00.000000
2169|243|7|The Seagull|2008-01-30 19:00:00.000000
2388|243|7|A Tale of Two Cities|2008-01-30 15:00:00.000000
2403|201|7|Electra|2008-01-30 15:00:00.000000
3283|209|7|A Streetcar Named Desire|2008-01-30 15:00:00.000000
3479|236|7|Macbeth|2008-01-30 14:30:00.000000
4929|95|9|Pepe Aguilar|2008-01-30 19:00:00.000000
6032|46|9|Santana|2008-01-30 15:00:00.000000
7064|113|9|George Thorogood and the Destroyers|2008-01-30 19:00:00.000000
7786|29|9|El Tri|2008-01-30 19:00:00.000000
1118|229|6|The Little Mermaid|2008-01-31 20:00:00.000000
1769|252|6|Phantom of the Opera|2008-01-31 14:00:00.000000
2217|221|7|Cirque du Soleil|2008-01-31 15:00:00.000000
2328|229|7|The Bacchae|2008-01-31 19:30:00.000000
2474|226|7|Thurgood|2008-01-31 15:00:00.000000
3236|201|7|Waiting for Godot|2008-01-31 14:00:00.000000
5527|92|9|Suzanne Vega|2008-01-31 14:00:00.000000
5752|76|9|Britney Spears|2008-01-31 14:00:00.000000
6030|79|9|America|2008-01-31 19:30:00.000000
6868|20|9|The Raconteurs|2008-01-31 14:00:00.000000
8582|26|9|Sugarland|2008-01-31 19:30:00.000000
874|207|6|Flower Drum Song|2008-02-01 19:30:00.000000
1330|240|6|Memphis - The Birth of Rock n Roll|2008-02-01 20:00:00.000000
2094|218|7|Rock 'n' Roll|2008-02-01 15:00:00.000000
2285|203|7|Electra|2008-02-01 15:00:00.000000
2495|205|7|Glengarry Glen Ross|2008-02-01 15:00:00.000000
2994|207|7|The Country Girl|2008-02-01 19:30:00.000000
4100|40|9|Randy Owen|2008-02-01 15:00:00.000000
4627|45|9|Jim Brickman|2008-02-01 19:30:00.000000
5219|26|9|Steely Dan|2008-02-01 14:00:00.000000
5607|35|9|Zucchero|2008-02-01 14:00:00.000000
6189|119|9|Live|2008-02-01 19:00:00.000000
6627|92|9|Josh Turner|2008-02-01 14:00:00.000000
6772|16|9|Cypress Hill|2008-02-01 19:00:00.000000
7096|115|9|Dennis DeYoung|2008-02-01 14:00:00.000000
7990|118|9|Al Green|2008-02-01 14:00:00.000000
8040|32|9|Vans Warped Tour|2008-02-01 19:30:00.000000
25|300|8|La Cenerentola (Cinderella)|2008-02-02 20:00:00.000000
1530|251|6|Blue Man Group|2008-02-02 20:00:00.000000
2046|247|7|Our Town|2008-02-02 15:00:00.000000
2512|237|7|The Homecoming|2008-02-02 14:00:00.000000
2699|238|7|Waiting for Godot|2008-02-02 20:00:00.000000
2821|224|7|Cirque du Soleil|2008-02-02 14:00:00.000000
3544|234|7|A Man For All Seasons|2008-02-02 19:30:00.000000
4910|65|9|Kanye West|2008-02-02 15:00:00.000000
5068|77|9|George Michael|2008-02-02 14:00:00.000000
6782|22|9|Alicia Keys|2008-02-02 15:00:00.000000
7941|41|9|The Guess Who|2008-02-02 15:00:00.000000
8292|10|9|Marc Anthony|2008-02-02 14:00:00.000000
576|218|6|West Side Story|2008-02-03 19:30:00.000000
1071|248|6|Mary Poppins|2008-02-03 14:00:00.000000
1446|228|6|Oliver!|2008-02-03 15:00:00.000000
4423|110|9|Melissa Etheridge|2008-02-03 19:00:00.000000
4562|94|9|Blues Brothers|2008-02-03 19:00:00.000000
